date,strategy,fee_bps,return_pct,n_trades,win_rate,sharpe
2026-01-15,Signal Only,0.0,24.748493845123853,10454,0.4138128945858045,260.02595572847014
2026-01-15,Signal Only,0.1,1.2123541932005377,10454,0.32026018748804286,137.13486455222048
2026-01-15,ML Only,0.0,10.54187014340382,3067,0.5409194652755135,34.9443422544956
2026-01-15,ML Only,0.1,3.966118041974309,3067,0.48255624388653406,24.2733454352669
2026-01-15,Ensemble,0.0,17.736701708055925,6426,0.44537815126050423,372.2302154994394
2026-01-15,Ensemble,0.1,3.5372839982376947,6426,0.33986928104575165,225.77017251760233
2026-01-16,Signal Only,0.0,17.135473671674962,7600,0.37894736842105264,257.41061910997166
2026-01-16,Signal Only,0.1,0.6180817744454226,7600,0.3011842105263158,133.74876917174785
2026-01-16,ML Only,0.0,5.197994803250139,1392,0.5438218390804598,24.279986034414943
2026-01-16,ML Only,0.1,2.3107351833779877,1392,0.4978448275862069,17.626183973132743
2026-01-16,Ensemble,0.0,9.191430128803857,4134,0.40130624092888245,303.7072171672489
2026-01-16,Ensemble,0.1,0.526668179664469,4134,0.3113207547169811,160.95130814538746
2026-01-17,Signal Only,0.0,1.6721987806895378,6126,0.2218413320274241,52.41883167962007
2026-01-17,Signal Only,0.1,-10.05184454486534,6126,0.14903689193601044,-141.12287163472894
2026-01-17,ML Only,0.0,2.0517108779638527,510,0.5627450980392157,22.119414705847614
2026-01-17,ML Only,0.1,1.0170996670299193,510,0.4392156862745098,16.57070316210956
2026-01-17,Ensemble,0.0,1.7387650613792438,3181,0.23263124803520904,107.51759914756278
2026-01-17,Ensemble,0.1,-4.532272792007319,3181,0.16661427224143352,-90.83813904436064
2026-01-18,Signal Only,0.0,2.6573064641330246,6617,0.21021611001964635,61.59226823718274
2026-01-18,Signal Only,0.1,-10.067811990295484,6617,0.14659211122865348,-93.73001208042037
2026-01-18,ML Only,0.0,3.119416059863478,542,0.5535055350553506,19.101815525279818
2026-01-18,ML Only,0.1,2.008684144025663,542,0.4833948339483395,15.737849912283668
2026-01-18,Ensemble,0.0,2.2477095964181792,3433,0.24410136906495777,97.54923459414668
2026-01-18,Ensemble,0.1,-4.53704432527029,3433,0.17011360326245267,-53.05580682769967
2026-01-19,Signal Only,0.0,13.875755347979135,8921,0.37596681986324404,219.69508880522162
2026-01-19,Signal Only,0.1,-4.732531295923148,8921,0.2773231700482009,68.8981887602728
2026-01-19,ML Only,0.0,11.248228032258822,2983,0.5189406637613141,41.70517694155784
2026-01-19,ML Only,0.1,4.805343590625277,2983,0.44518940663761314,30.05291527269731
2026-01-19,Ensemble,0.0,11.028443638430762,5525,0.4132126696832579,338.6702062419181
2026-01-19,Ensemble,0.1,-0.5866002443760787,5525,0.2955656108597285,159.84203686628538
2026-01-20,Signal Only,0.0,34.90727003759149,9546,0.5047140163419234,306.39282087059365
2026-01-20,Signal Only,0.1,11.460435827701732,9546,0.41944269851246596,208.74504590048463
2026-01-20,ML Only,0.0,24.492154797640776,4043,0.5686371506307197,64.61287436878007
2026-01-20,ML Only,0.1,14.82330668868328,4043,0.5283205540440267,52.70771282797907
2026-01-20,Ensemble,0.0,27.47562396936829,6101,0.5467956072774955,428.2872212290142
2026-01-20,Ensemble,0.1,12.832788888473923,6101,0.44992624159973776,320.68313552720906
2026-01-21,Signal Only,0.0,35.478558844066185,9422,0.4577584376990023,320.319597069338
2026-01-21,Signal Only,0.1,12.210377931871452,9422,0.3802801952876247,220.95749935257243
2026-01-21,ML Only,0.0,32.80127191312297,4911,0.5744247607411932,74.10801847672427
2026-01-21,ML Only,0.1,20.379127227478634,4911,0.5216860109957239,61.29917305540852
2026-01-21,Ensemble,0.0,30.18286968000281,6658,0.5030039050765995,470.9605305792267
2026-01-21,Ensemble,0.1,13.95254879285086,6658,0.4157404626013818,352.1127052847506
2026-01-22,Signal Only,0.0,38.42077288770185,9101,0.46544335787276125,397.86931741171435
2026-01-22,Signal Only,0.1,15.385704142817168,9101,0.3891880013185364,286.52345899368385
2026-01-22,ML Only,0.0,23.380368492966763,4788,0.5605680868838764,81.16643196674609
2026-01-22,ML Only,0.1,12.114831875518849,4788,0.5112781954887218,62.687586126395004
2026-01-22,Ensemble,0.0,32.474489868938086,6513,0.5123598955934285,589.3414567790204
2026-01-22,Ensemble,0.1,16.295254881906153,6513,0.42346077076616,452.87543348091623
2026-01-23,Signal Only,0.0,27.79705069862919,9598,0.4119608251719108,293.5057434183744
2026-01-23,Signal Only,0.1,5.476160071179703,9598,0.34600958533027715,178.6824566251333
2026-01-23,ML Only,0.0,25.45902665211819,5273,0.5306277261520956,81.65645072878907
2026-01-23,ML Only,0.1,12.902087753692504,5273,0.48150957709084014,62.69059754146889
2026-01-23,Ensemble,0.0,23.334516971683918,6726,0.4487065120428189,428.17522996418944
2026-01-23,Ensemble,0.1,7.811220385541184,6726,0.36931311329170385,290.8893235241812
2026-01-24,Signal Only,0.0,1.6372907703905204,4100,0.14682926829268292,98.99446323761232
2026-01-24,Signal Only,0.1,-6.364437242066834,4100,0.10560975609756097,-150.87991455168097
2026-01-24,ML Only,0.0,1.00464030549412,403,0.5210918114143921,19.822290611930715
2026-01-24,ML Only,0.1,0.19482283753815555,403,0.4267990074441687,11.83813898163373
2026-01-24,Ensemble,0.0,1.2118343177745405,2137,0.18530650444548433,145.95362416614245
2026-01-24,Ensemble,0.1,-3.0228293523936967,2137,0.13196069255966308,-112.95024594382309
2026-01-25,Signal Only,0.0,15.853817434591644,6652,0.388755261575466,220.03416685754686
2026-01-25,Signal Only,0.1,1.4219977302968534,6652,0.3250150330727601,120.60600626839344
2026-01-25,ML Only,0.0,18.657517454168506,3655,0.5444596443228454,81.94682666813827
2026-01-25,ML Only,0.1,10.294348000281062,3655,0.5025991792065664,64.45391993645572
2026-01-25,Ensemble,0.0,15.38068157225303,4849,0.42173644050319653,335.48895286015824
2026-01-25,Ensemble,0.1,4.716623861668312,4849,0.3584244174056507,221.81057845172023
2026-01-26,Signal Only,0.0,39.28854108345874,10712,0.4484690067214339,361.3350384845796
2026-01-26,Signal Only,0.1,12.427644919804592,10712,0.3645444361463779,244.56040776617317
2026-01-26,ML Only,0.0,34.62823573202194,6731,0.5580151537661566,98.22481831676382
2026-01-26,ML Only,0.1,17.672985539377216,6731,0.4997771504976972,76.00842405580674
2026-01-26,Ensemble,0.0,35.005011197691594,7753,0.50148329678834,559.3427795971837
2026-01-26,Ensemble,0.1,15.613660921404126,7753,0.41209854249967753,414.8850677780025
